Indegree,Outdegree,NumSCC,betweenness,closeness
1,2,0,1.6428942210922188,0.3365107913669065
6,3,0,1574.4994224468348,0.3567206863679695
5,4,0,417.9676505572563,0.34136106549899653
0,0,524,0.0,0.0
0,8,525,0.0,0.3910135841170324
4,7,0,283.9500547750128,0.395978835978836
8,45,0,7500.8636705657245,0.4433649289099526
4,12,0,4399.849212186482,0.36707867372964487
1,2,0,282.9318612121779,0.33614804168163853
6,12,0,3327.127962763815,0.38490022629088666
2,6,0,377.90199150398234,0.3692520228932307
0,19,532,0.0,0.41366349767853194
4,12,0,876.9235779498226,0.37159880834160874
0,3,534,0.0,0.30056224899598394
0,6,535,0.0,0.3406773488710852
2,17,0,332.50244247774754,0.41256890848952593
6,6,0,1514.1871512292687,0.36344211344211347
1,1,0,1.9993386243386244,0.2918421463110279
3,3,0,7.022254116954761,0.3273840769903762
0,3,540,0.0,0.3635833657209483
0,1,541,0.0,0.3260718020216103
0,5,542,0.0,0.3360876594215915
3,8,0,817.0772064791228,0.3958950486669488
2,6,0,20.546511493559635,0.3441235975721905
1,1,545,9.312754323924114,0.297361729179911
0,4,546,0.0,0.30946080052927555
1,4,0,0.0,0.37390087929656274
0,1,548,0.0,0.2842601033120632
4,7,0,425.18064960348795,0.37012858555885264
4,3,0,146.09521149249102,0.338581252262034
4,4,0,3288.0135279022115,0.35136150234741786
1,1,0,0.0,0.26004169562195967
29,28,0,12654.829330937537,0.4090511587232182
5,12,0,181.21957444623848,0.3930672268907563
2,5,0,16.824954881866887,0.37390087929656274
4,6,0,3959.383376043362,0.31658206429780034
3,27,0,15010.439375420623,0.41393805309734516
57,21,0,14279.177443557744,0.42853870819972517
4,9,0,102.60627670090062,0.3769897239572839
1,0,560,0.0,0.26766809728183116
2,9,561,212.47819649216973,0.3936461182411109
5,8,0,22.325974773036947,0.31162558294470355
2,6,0,2738.342892391128,0.34501198598561683
4,24,0,1207.869258749089,0.41375497567448033
1,24,0,305.5714349739058,0.4233989590405069
1,8,0,11.261656222840685,0.3752507019655034
2,21,0,675.1758945071878,0.41772717124358116
0,3,568,0.0,0.3780561729642352
19,29,0,2753.8182201729187,0.40236559139784944
3,9,0,1298.6266449376958,0.38585275314497836
11,62,0,6167.421024545867,0.45269779820953304
0,4,572,0.0,0.34148567256798684
0,4,573,0.0,0.3519563581640331
1,3,574,55.57687436451384,0.3464173301240511
9,22,0,17274.172591987586,0.4232074191359421
6,2,0,141.8907000335687,0.30946080052927555
16,27,0,14264.036265406798,0.414029652578004
1,18,0,907.8215269061988,0.36330097087378643
1,8,579,121.06504697367984,0.35368620037807186
9,5,0,1965.1601382653748,0.3186307901907357
0,2,581,0.0,0.3429880843263061
63,38,0,36809.945905976674,0.44986775667227696
1,3,583,36.80449557471451,0.3597385118246491
0,5,584,0.0,0.35644884739950466
11,12,0,646.8184137056348,0.35953112990007685
1,6,586,1.0,0.35726561008210805
6,9,587,775.9500707612428,0.3769897239572839
0,4,588,0.0,0.3543560606060606
0,6,589,0.0,0.3567206863679695
0,5,590,0.0,0.35442318620950936
0,4,591,0.0,0.3540878122634368
0,24,592,0.0,0.41810055865921786
0,6,593,0.0,0.3559741248097412
2,0,594,0.0,0.3123539232053422
1,3,0,11.343369562811311,0.3561774224252808
1,1,0,0.0,0.3469312071203412
1,0,597,0.0,0.2958102766798419
2,0,598,0.0,0.32131203846814355
5,7,0,153.71732056892998,0.3775221953188055
1,1,0,0.0,0.23016361176036412
0,4,601,0.0,0.3614760432766615
0,2,602,0.0,0.33742110009017134
29,12,0,3463.53643479564,0.3964823055732147
3,9,0,362.31483457014536,0.36252664212361946
23,12,0,4779.467685099494,0.40392918825561314
3,6,0,85.29109724897613,0.3446941783345615
7,15,0,582.8720832935652,0.41111843550867944
2,25,0,75.19763230342373,0.4038420030218001
17,4,0,1827.122187488778,0.34744661095636026
5,5,0,271.4317567929387,0.3325630998933523
4,2,0,42.92292627402385,0.3497850065432791
1,8,0,1.463490488006617,0.38737060041407867
1,23,0,228.4510701933307,0.3522213855421687
5,8,0,93.4457534135408,0.33464496512251835
1,2,0,74.64775192828307,0.35563581068237976
0,3,616,0.0,0.3528191589666227
0,4,617,0.0,0.3629485935984481
